direction,system,SacreBLEU,chrF,LinguaPy,RefMetricX_24-Strict-linguapy,QEMetricX_24-Strict-linguapy,XCOMET-Strict-linguapy,XCOMET-QE-Strict-linguapy
en_de,canary-v2,32.8993,61.9113,0.0,2.5641,2.3163,0.9389,0.9447
en_de,gemma_canary-v2,32.2527,62.0395,0.0,1.4741,1.3616,0.9631,0.9669
en_de,gemma_seamlessm4t,31.1386,61.4865,0.0,1.4733,1.3486,0.9624,0.9654
en_de,owsm4.0-ctc,23.1214,54.9522,0.156,9.7905,9.4253,0.7557,0.7766
en_de,qwen2audio-7b,24.304,55.105,1.8721,4.5634,4.18,0.8823,0.8922
en_de,spirelm,28.2889,57.1026,0.312,4.0534,3.6587,0.884,0.8961
en_de,tower_owsm4.0-ctc,36.9784,64.962,0.0,1.7257,1.6457,0.9577,0.9604
en_de,tower_whisper,37.236,65.3626,0.0,1.4422,1.3777,0.9649,0.9684
en_de,desta2-8b,23.7913,55.3612,0.0,3.3598,3.0543,0.908,0.9161
en_de,gemma_owsm4.0-ctc,31.7238,61.4342,0.0,1.8654,1.7334,0.9531,0.9576
en_de,gemma_whisper,31.7032,62.0023,0.0,1.4786,1.3646,0.962,0.9659
en_de,phi4multimodal,26.5753,52.9767,25.585,8.0651,7.9364,0.7048,0.7092
en_de,seamlessm4t,32.0398,61.3662,0.156,2.6383,2.4148,0.9328,0.9403
en_de,tower_canary-v2,37.7767,65.7593,0.0,1.3771,1.3312,0.9664,0.969
en_de,tower_seamlessm4t,37.1276,65.4386,0.0,1.3354,1.2777,0.9668,0.9693
en_de,voxtral-small-24b,38.6423,65.7745,0.0,1.0135,0.9994,0.9756,0.9773
de_en,canary-v2,35.1969,62.4004,0.0,4.5138,4.1632,0.8672,0.8658
de_en,gemma_canary-v2,37.6723,65.2543,0.0,2.4029,2.3228,0.9388,0.9307
de_en,gemma_seamlessm4t,36.3153,64.1758,0.0,2.8783,2.7,0.9189,0.9082
de_en,owsm4.0-ctc,19.9015,49.4757,1.1601,12.5916,12.3396,0.4801,0.4463
de_en,qwen2audio-7b,29.5771,57.825,2.2042,5.4886,4.9845,0.8174,0.8078
de_en,tower_owsm4.0-ctc,41.5971,67.4823,0.0,2.7929,2.7371,0.9249,0.9184
de_en,tower_whisper,42.7963,68.3684,0.0,2.2429,2.2676,0.948,0.9414
de_en,whisper,33.498,61.0837,0.0,4.9059,4.5372,0.8596,0.8651
de_en,desta2-8b,31.3626,60.2134,0.0,4.3813,4.1429,0.8373,0.8191
de_en,gemma_owsm4.0-ctc,37.0216,64.6116,0.116,3.0586,2.9401,0.9128,0.9022
de_en,gemma_whisper,37.7618,65.0647,0.0,2.438,2.3266,0.9388,0.9317
de_en,phi4multimodal,36.1146,63.5479,4.8724,4.1086,3.8985,0.8728,0.8746
de_en,seamlessm4t,36.8112,63.5775,0.0,3.8782,3.6152,0.896,0.8948
de_en,tower_canary-v2,42.6964,68.3454,0.0,2.302,2.3204,0.9447,0.9378
de_en,tower_seamlessm4t,41.4344,67.4747,0.0,2.6527,2.6115,0.9274,0.9187
de_en,voxtral-small-24b,43.8863,68.4401,0.0,2.057,2.1276,0.9479,0.9405
en_es,canary-v2,25.2079,54.3982,0.6221,3.4282,3.2377,0.8931,0.9078
en_es,gemma_canary-v2,25.6254,55.2693,0.311,2.3581,2.2752,0.9226,0.9338
en_es,gemma_seamlessm4t,24.8427,54.7128,0.311,2.3837,2.2596,0.9201,0.932
en_es,owsm4.0-ctc,15.016,45.8191,2.3328,12.3528,11.9417,0.5306,0.5657
en_es,qwen2audio-7b,19.1612,49.2986,2.7994,5.6554,5.2607,0.7874,0.8118
en_es,spirelm,22.5138,51.2111,0.6221,5.1865,4.842,0.8067,0.8283
en_es,tower_owsm4.0-ctc,26.7382,55.6696,0.311,2.8619,2.8024,0.9073,0.9198
en_es,tower_whisper,26.9899,55.9705,0.311,2.4174,2.3157,0.923,0.9342
en_es,desta2-8b,20.9695,51.1853,0.1555,4.2545,3.9985,0.8222,0.8459
en_es,gemma_owsm4.0-ctc,24.5852,54.5376,0.311,2.7901,2.6811,0.9051,0.9172
en_es,gemma_whisper,25.2973,54.952,0.311,2.3798,2.2487,0.9206,0.9323
en_es,phi4multimodal,21.5183,50.3664,13.2193,6.1539,6.0047,0.7807,0.7978
en_es,seamlessm4t,23.2374,53.3843,0.6221,3.5674,3.3466,0.8868,0.9045
en_es,tower_canary-v2,27.12,56.0857,0.311,2.3252,2.2575,0.9254,0.9381
en_es,tower_seamlessm4t,26.7061,55.7378,0.311,2.3196,2.2465,0.9241,0.9357
en_es,voxtral-small-24b,29.2818,56.6931,0.4666,1.771,1.7593,0.9446,0.9552
es_en,canary-v2,25.2244,55.1201,0.3304,4.6947,4.1719,0.8444,0.8357
es_en,gemma_canary-v2,26.5059,57.5544,0.1101,2.5239,2.1363,0.9341,0.9325
es_en,gemma_seamlessm4t,25.6316,56.9287,0.0,2.7526,2.3451,0.9196,0.915
es_en,owsm4.0-ctc,16.5658,47.7812,0.2203,10.5393,9.95,0.5415,0.5109
es_en,qwen2audio-7b,21.7125,53.0973,0.8811,4.7946,4.156,0.8229,0.8129
es_en,tower_owsm4.0-ctc,29.0317,59.5002,0.0,2.703,2.3905,0.9239,0.9164
es_en,tower_whisper,30.1883,60.3385,0.0,2.2829,2.0027,0.9396,0.9354
es_en,whisper,22.4489,54.3274,0.0,4.2207,3.5504,0.8644,0.8703
es_en,desta2-8b,23.807,55.3174,0.0,3.8614,3.4102,0.8369,0.8159
es_en,gemma_owsm4.0-ctc,25.5992,57.0916,0.3304,3.0758,2.6938,0.9082,0.9003
es_en,gemma_whisper,26.5848,57.8329,0.0,2.5054,2.1294,0.931,0.9286
es_en,phi4multimodal,24.723,56.1602,3.0837,3.9609,3.4289,0.8766,0.8765
es_en,seamlessm4t,25.711,56.4942,0.0,3.7935,3.268,0.8856,0.8892
es_en,tower_canary-v2,30.0884,60.2492,0.0,2.2997,2.0238,0.939,0.9338
es_en,tower_seamlessm4t,28.5748,58.9576,0.0,2.7199,2.4273,0.9226,0.9153
es_en,voxtral-small-24b,33.7954,61.6075,0.0,2.0214,1.8989,0.9413,0.9333
en_fr,canary-v2,41.502,66.5428,0.0,3.62,3.3952,0.8553,0.8845
en_fr,gemma_canary-v2,39.0916,64.7629,0.3268,2.5458,2.4117,0.8926,0.9109
en_fr,gemma_seamlessm4t,37.8972,64.4363,0.3268,2.5844,2.4287,0.8931,0.9103
en_fr,owsm4.0-ctc,22.2795,53.1134,0.817,13.7663,13.2353,0.3634,0.3966
en_fr,qwen2audio-7b,32.9732,60.1779,1.1438,5.2257,4.867,0.7654,0.8062
en_fr,spirelm,35.2969,61.0373,0.3268,5.5047,5.162,0.7283,0.7683
en_fr,tower_owsm4.0-ctc,45.463,68.6511,0.3268,3.0757,2.9872,0.8779,0.8974
en_fr,tower_whisper,46.022,69.1336,0.3268,2.6618,2.5689,0.8946,0.9123
en_fr,desta2-8b,32.4628,60.0124,0.1634,4.3725,4.1021,0.7281,0.7445
en_fr,gemma_owsm4.0-ctc,38.2686,64.3942,0.0,2.9793,2.8086,0.8733,0.8918
en_fr,gemma_whisper,37.92,64.1512,0.1634,2.5766,2.4393,0.8943,0.9076
en_fr,phi4multimodal,21.4433,44.4111,53.4314,15.5106,15.402,0.375,0.3925
en_fr,seamlessm4t,41.9613,66.2128,0.0,3.776,3.5239,0.8465,0.8829
